clean_content,label
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
alien news update article discusses alien news update however claim supported verified source may contain misleading false information detail provided background context analysis,0
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
secret government update article discusses secret government update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
economy update article discusses economy update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
miracle cure update article discusses miracle cure update however claim supported verified source may contain misleading false information detail provided background context analysis,0
celebrity gossip update article discusses celebrity gossip update however claim supported verified source may contain misleading false information detail provided background context analysis,0
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
conspiracy update article discusses conspiracy update however claim supported verified source may contain misleading false information detail provided background context analysis,0
rumor update article discusses rumor update however claim supported verified source may contain misleading false information detail provided background context analysis,0
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
science update article discusses science update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
politics update article discusses politics update information verified multiple trusted source supported official statement detail provided background context analysis,1
education update article discusses education update information verified multiple trusted source supported official statement detail provided background context analysis,1
health update article discusses health update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
technology update article discusses technology update information verified multiple trusted source supported official statement detail provided background context analysis,1
